frame,keypoint_id,x,y,px,py,visibility
8,0,0.31451124,0.31896296,226,408,0.8928952217102051
8,1,0.31427372,0.3168186,226,405,0.6007587909698486
8,2,0.30248058,0.31682092,217,405,0.8912182450294495
8,3,0.307529,0.3242091,221,414,0.22882582247257233
8,4,0.2733666,0.3259266,196,417,0.8457137942314148
8,5,0.30476588,0.34807536,219,445,0.939433753490448
8,6,0.25873476,0.35083535,186,449,0.9861090779304504
8,7,0.3045436,0.33105838,219,423,0.7701089382171631
8,8,0.23214914,0.34312516,167,439,0.9662104249000549
8,9,0.27265558,0.29469544,196,377,0.7326245903968811
8,10,0.24679211,0.3136225,177,401,0.9406666159629822
8,11,0.28550792,0.42077202,205,538,0.9852079153060913
8,12,0.2551463,0.42139226,183,539,0.9928386807441711
8,13,0.2923656,0.48368326,210,619,0.9693810939788818
8,14,0.28696594,0.4874136,206,623,0.986273467540741
8,15,0.20924704,0.5130396,150,656,0.9258419871330261
8,16,0.22171418,0.51811343,159,663,0.954380989074707
9,0,0.3220961,0.34138477,231,436,0.9162504076957703
9,1,0.3236083,0.33755806,232,432,0.6188771724700928
9,2,0.31257904,0.33701223,225,431,0.910639226436615
9,3,0.316161,0.33907467,227,434,0.25696098804473877
9,4,0.28592157,0.34006733,205,435,0.8750507831573486
9,5,0.30453724,0.35667747,219,456,0.9574552178382874
9,6,0.26025602,0.36580285,187,468,0.9927712082862854
9,7,0.295702,0.34092674,212,436,0.8318392634391785
9,8,0.2052416,0.38597807,147,494,0.9821745157241821
9,9,0.28378516,0.30921566,204,395,0.7933732271194458
9,10,0.21008064,0.39418092,151,504,0.9637463092803955
9,11,0.2792036,0.4316848,201,552,0.9848795533180237
9,12,0.2501325,0.4345166,180,556,0.9934704303741455
9,13,0.30103275,0.4859826,216,622,0.960197925567627
9,14,0.2890042,0.48915067,208,626,0.9835332036018372
9,15,0.21674524,0.5118903,156,655,0.8941940665245056
9,16,0.22004806,0.5167242,158,661,0.9369560480117798
10,0,0.32271162,0.3455307,232,442,0.9069168567657471
10,1,0.32346663,0.3421903,232,438,0.5846760272979736
10,2,0.3129325,0.34178558,225,437,0.9114173650741577
10,3,0.31431025,0.3448072,226,441,0.2271367758512497
10,4,0.2855457,0.3464339,205,443,0.8845682144165039
10,5,0.30115113,0.3618412,216,463,0.945040762424469
10,6,0.26258075,0.3720358,189,476,0.9918950200080872
10,7,0.29530463,0.34680814,212,443,0.7791223526000977
10,8,0.21751319,0.3880227,156,496,0.9804085493087769
10,9,0.28310487,0.32418075,203,414,0.738215982913971
10,10,0.21061033,0.3877382,151,496,0.9590767621994019
10,11,0.2702066,0.43619576,194,558,0.9806510806083679
10,12,0.24412844,0.4393145,175,562,0.9922494888305664
10,13,0.30713868,0.48462492,221,620,0.953329861164093
10,14,0.29523465,0.48710594,212,623,0.9823368787765503
10,15,0.21832496,0.5076308,157,649,0.8929252624511719
10,16,0.2244466,0.5106543,161,653,0.9399677515029907
11,0,0.30669028,0.35269338,220,451,0.5163779854774475
11,1,0.3025043,0.35006925,217,448,0.1212649717926979
11,2,0.29787183,0.35038024,214,448,0.5216434597969055
11,3,0.28749317,0.35573617,206,455,0.09787790477275848
11,4,0.2824569,0.35762566,203,457,0.7684810757637024
11,5,0.2702053,0.37524492,194,480,0.8710336685180664
11,6,0.2843266,0.36989844,204,473,0.9840314984321594
11,7,0.27534524,0.3724187,198,476,0.7273110747337341
11,8,0.30386612,0.35906497,218,459,0.9835615754127502
11,9,0.28275886,0.35404173,203,453,0.7123620510101318
11,10,0.30922735,0.34465858,222,441,0.9655592441558838
11,11,0.24318545,0.4383495,175,561,0.9832690954208374
11,12,0.2469478,0.43682942,177,559,0.9942969679832458
11,13,0.30036902,0.4842371,216,619,0.9598026275634766
11,14,0.3051378,0.48575312,219,621,0.9877989292144775
11,15,0.22804646,0.50598127,164,647,0.9027411341667175
11,16,0.23035662,0.5126392,165,656,0.9530843496322632
12,0,0.31747824,0.35447228,228,453,0.8137566447257996
12,1,0.32033446,0.34891868,230,446,0.23842096328735352
12,2,0.30934662,0.34888983,222,446,0.8775084018707275
12,3,0.3022377,0.3520482,217,450,0.04365914314985275
12,4,0.28656274,0.35213977,206,450,0.9341110587120056
12,5,0.2842658,0.37352574,204,478,0.9267273545265198
12,6,0.26894477,0.37676346,193,482,0.9909605383872986
12,7,0.3071833,0.3721562,221,476,0.6520746350288391
12,8,0.29693,0.37998396,213,486,0.9890792965888977
12,9,0.32471278,0.36052728,233,461,0.7302727699279785
12,10,0.33983204,0.36290163,244,464,0.9789170026779175
12,11,0.24467432,0.44022337,176,563,0.9660407304763794
12,12,0.2298824,0.44298643,165,567,0.9895625710487366
12,13,0.29512784,0.4827624,212,617,0.8642546534538269
12,14,0.29507676,0.48618427,212,622,0.9636697173118591
12,15,0.22459738,0.50992745,161,652,0.6377063989639282
12,16,0.22374329,0.5167146,161,661,0.8412121534347534
13,0,0.3170038,0.35295865,228,451,0.8979818820953369
13,1,0.31693077,0.34956184,228,447,0.5546640157699585
13,2,0.30691352,0.34944463,220,447,0.9038448929786682
13,3,0.30948848,0.35249057,222,451,0.21703730523586273
13,4,0.2807319,0.35325208,202,452,0.8905885815620422
13,5,0.29911646,0.37380657,215,478,0.948294460773468
13,6,0.27069947,0.37714684,194,482,0.9922731518745422
13,7,0.3335587,0.39015526,240,499,0.7968229651451111
13,8,0.298548,0.40104428,214,513,0.9844142198562622
13,9,0.33267042,0.3803698,239,486,0.7861925959587097
13,10,0.32894364,0.3847412,236,492,0.9697693586349487
13,11,0.25934008,0.4377439,186,560,0.9810787439346313
13,12,0.23854433,0.4393608,171,562,0.9924617409706116
13,13,0.30514234,0.4779889,219,611,0.9465606808662415
13,14,0.30060494,0.48485422,216,620,0.9810727834701538
13,15,0.21812604,0.5057968,157,647,0.8568314909934998
13,16,0.23053119,0.5175147,165,662,0.9217981100082397
14,0,0.31274813,0.35335603,225,452,0.9591831564903259
14,1,0.31696627,0.3483561,228,445,0.6135704517364502
14,2,0.30279568,0.34825498,218,445,0.974112868309021
14,3,0.30171,0.35088482,217,449,0.12162633240222931
14,4,0.27950475,0.3508548,201,449,0.9796619415283203
14,5,0.27946344,0.37367302,201,478,0.9817067980766296
14,6,0.27033985,0.37536117,194,480,0.9983007311820984
14,7,0.30862153,0.39630216,222,507,0.7311655879020691
14,8,0.30190134,0.40142363,217,513,0.994219183921814
14,9,0.33935383,0.38974363,244,498,0.7492071986198425
14,10,0.3416805,0.3913681,246,500,0.9839739203453064
14,11,0.23970374,0.43735638,172,559,0.9809750318527222
14,12,0.23028064,0.43893594,165,561,0.9949341416358948
14,13,0.28817195,0.47852716,207,612,0.9065161943435669
14,14,0.29266775,0.48057574,210,615,0.9785177707672119
14,15,0.2361504,0.51049834,170,653,0.7487981915473938
14,16,0.23446569,0.51520765,168,659,0.906939685344696
15,0,0.31454653,0.34952825,226,447,0.9219619035720825
15,1,0.31589922,0.34426507,227,440,0.439170777797699
15,2,0.30540213,0.34463263,219,441,0.9576281309127808
15,3,0.29445055,0.34703624,212,444,0.07241947203874588
15,4,0.2805995,0.34809595,202,445,0.9731554985046387
