knee_angle_left,knee_angle_right,elbow_angle_left,elbow_angle_right,com_x,com_y,knee_status
176.80498666443842,175.3013193622296,107.1027289619307,171.19320709109394,197.0,487.0,Extension
175.02208975926843,176.23930575807677,120.74768294803299,161.2519624562086,188.75,481.5,Extension
177.1018642657613,167.48311149382914,116.11193053906061,166.4901959463395,182.75,479.25,Extension
178.46616512473753,179.1057572588203,72.81585200407439,177.02472571409314,177.0,477.25,Extension
176.34440451993083,170.37169814348158,24.752680584227264,159.84413654388348,169.0,478.0,Extension
173.24748643144008,163.37526949202723,145.7998300319436,133.04275462696714,160.75,483.0,Extension
132.27368899547628,141.79234746743384,163.76927802026998,132.6912420939142,157.0,487.25,Transition
129.93690573407827,139.87389641666343,170.42940089267725,132.15430637274585,157.25,493.75,Transition
134.74789746206912,142.6437995970225,174.3269777840545,126.71483501011667,157.25,494.25,Transition
143.40092184794378,150.00587961266794,178.64218078930844,130.7162981365147,159.0,491.25,Transition
164.1050809471057,171.00223216965702,175.21393355340908,161.52926365284023,162.5,490.75,Extension
174.76952516837903,179.65810157714483,169.7427464690702,176.11724253834987,170.75,482.5,Extension
175.74657731077303,174.03468674012248,159.93979379822284,157.86263720156734,176.25,483.75,Extension
170.60005794060825,172.49827258944651,113.46719478991163,158.6803677139616,186.0,491.25,Extension
173.78344572743666,169.11226540436616,156.43936384643607,172.2619926168763,197.75,503.75,Extension
178.260381621873,164.14605630253467,124.96090845430679,162.6800275021484,206.5,522.0,Extension
164.2083151784713,173.13384829992404,134.67629846502118,173.47890649502324,210.0,533.25,Extension
173.12088673925575,179.39162921006985,148.67904247071368,151.5040047966281,211.0,534.75,Extension
175.48128911510207,160.41448778474785,145.96787216744295,167.7216429526898,210.25,543.75,Extension
152.93932294355218,134.13295892851562,146.92735021517177,172.3361241995108,211.25,542.75,Transition
131.52624399057964,120.13833416851335,158.30256833269104,149.11892120229163,203.0,549.5,Transition
105.67828932517116,111.02368649085476,165.6395729631434,81.0514421932681,200.0,549.25,Good Loading (Serve)
101.59273264241085,117.55926918175547,177.06432631515943,41.096456522707456,197.5,557.75,Good Loading (Serve)
102.10007965459488,119.71733971153394,161.3494518533943,42.63253054867399,194.75,566.5,Good Loading (Serve)
109.8947699448698,128.11495861820094,157.1027368137707,99.5632332186708,202.25,588.0,Transition
103.13603914968041,128.81236238017334,118.98882250675923,103.37963530280393,202.0,603.25,Transition
90.85112817006778,112.79891367513413,147.73791543967565,115.44290620658656,198.5,617.5,Good Loading (Serve)
108.06693382428749,131.85053732122506,158.38904584575772,141.79252949462443,200.5,620.75,Transition
113.36911316168353,128.48121721254844,137.6715698084904,153.43494880814492,195.25,625.5,Transition
113.82206989370657,126.33722848553175,137.3854644015908,162.72409571412655,187.0,634.25,Transition
105.40474645893985,118.55986994735632,141.00900594813888,163.95666267543808,183.25,642.0,Good Loading (Serve)
122.06669680786008,116.38642110919675,132.47917208660468,161.8114461359353,174.5,640.25,Good Loading (Serve)
106.90164260134813,107.82652093692126,141.43046388629594,164.59945359200356,170.0,641.0,Good Loading (Serve)
117.36548981875727,109.87997090227222,132.84089120843143,166.19834625460243,171.5,639.5,Good Loading (Serve)
130.08248341245178,118.36708774293572,147.4440751832074,178.07921485068462,173.0,635.75,Good Loading (Serve)
115.22483951911138,109.43559761258004,134.99999999230062,169.89127849194122,174.5,637.75,Good Loading (Serve)
135.633613316715,121.28040532896715,142.0349758904968,178.9898507264129,173.75,625.75,Transition
137.40280559614317,122.45438836567709,87.35745470728995,152.729746880174,153.75,632.25,Transition
144.785119305413,138.02815777738851,156.29486044898897,51.02630542621202,147.0,628.25,Transition
154.28034164437616,147.1668781803435,138.77276994808707,146.93393740976856,147.0,609.5,Transition
155.85161308779772,142.20537989095348,130.90614499720863,178.4230665198493,142.75,606.0,Transition
142.20735471099914,124.42426096389164,115.88212858717694,164.11693474644875,136.25,611.25,Transition
146.68674247881685,116.25374103866665,111.57543171723626,140.96241436753556,137.5,601.75,Good Loading (Serve)
157.93713830825675,142.77152913610524,127.06881174422355,152.50939719251167,128.5,589.75,Transition
149.44431561567202,133.52022059480325,139.87139102698907,148.768090444199,121.5,589.25,Transition
155.31816573561522,128.97840985900547,149.83735717352423,140.5308543342049,116.25,575.5,Transition
154.74866195367434,122.98577910453079,152.28405686590028,132.28750741434726,113.0,568.75,Transition
153.4919511224918,120.02380114794028,152.68182296941185,140.37909449921196,106.75,561.0,Transition
155.5197036549211,131.66559244202134,157.05361216402358,149.05905228029832,99.75,548.5,Transition
145.93951588480726,131.02688171452863,155.564584249407,155.40352392203982,92.25,546.75,Transition
139.857802658553,130.51301909610714,162.8504841697428,176.04938177020279,86.0,543.0,Transition
142.99697101214858,136.3375078792508,148.77065177470297,163.50798144795482,77.75,536.75,Transition
142.69732472967863,137.0347473452109,134.81539493234044,155.26291705378742,69.75,531.25,Transition
156.6750757151933,148.54595242175807,152.23384035085306,169.37817852574514,59.5,524.75,Transition
165.96874682086636,155.25168291043258,152.20761684864303,179.40934161611415,56.25,515.75,Transition
154.2526929678085,144.06455520345924,140.70035930191185,156.8392846994846,52.0,511.75,Transition
140.56923337211276,126.67347559332302,133.5847451056704,133.96127818935895,51.25,515.75,Transition
131.306538375619,115.91044474026033,135.10941254827262,122.05881412699668,50.75,524.5,Good Loading (Serve)
134.03486589599126,124.60861103316086,138.7691067354538,124.66108944774885,48.75,533.5,Transition
141.46486374220845,134.33875465083642,141.0818573507231,125.12411518018462,45.75,540.75,Transition
145.35887376424304,141.09803084982903,141.74557963441876,129.10438538308668,45.75,541.75,Transition
157.59102537526675,159.5455962303321,145.81215609188177,151.39053966187873,44.0,541.75,Transition
164.14807183310046,166.41296210376186,130.0206140517663,177.13476234213815,43.25,542.25,Extension
159.8943246596009,155.09720472253883,123.50654547155243,162.81921451139306,46.5,542.5,Transition
151.28082315887264,142.523013430964,119.39605284966188,155.06463145139276,43.25,538.75,Transition
146.23414730838127,129.36433989239015,112.87069087195188,154.26433978132826,46.0,539.75,Transition
148.64301900522372,126.67687054777252,104.31174321234782,146.15465971507535,47.25,532.75,Transition
150.58354916839548,126.8046405185088,110.42253254176256,154.37665240828147,52.5,526.5,Transition
